Kategorija,Jelen,Srna,DivljaSvinja,Zec,Fazan,Močvarice,OstalaPernataDivljač
2010,2916,11284,18409,22000,68000,23000,108000
2011,3394,13373,21871,24000,58000,19000,116000
2012,3542,14211,24496,23000,56000,24000,110000
2013,3798,15235,21436,25000,56000,27000,115000
2014,4382,16800,26394,28000,82000,30000,117000
2015,4126,16397,26997,26000,72000,27000,113000
2016,4250,15023,29563,24000,69000,26000,110000
2017,4245,15400,30000,22000,68000,25000,110000
2018,3933,16160,29599,24000,56000,50000,238000
2019,5235,16691,39713,25000,58000,60000,70000
